URL,Year,School,Conf,Class,Pos,G,college_rush_att,college_rush_yds,college_rush_avg,college_rush_TD,college_rec_rec,college_rec_yds,college_rec_avg,college_rec_TD,college_scrim_plays,college_scrim_yds,college_scrim_avg,college_scrim_TD
https://www.sports-reference.com/cfb/players/anthony-alridge-1.html,,Houston,CUSA,,,39.0,363.0,2595.0,6.866666666666667,22.0,74.0,997.0,15.766666666666666,9.0,437.0,3592.0,10.9,31.0
https://www.sports-reference.com/cfb/players/anthony-davis-3.html,,Wisconsin,Big Ten,,,40.0,908.0,4676.0,5.225,42.0,22.0,198.0,11.133333333333333,0.0,930.0,4874.0,5.35,42.0
https://www.sports-reference.com/cfb/players/anthony-dixon-1.html,,Mississippi State,SEC,,,48.0,910.0,3994.0,4.375,42.0,56.0,449.0,8.775,4.0,966.0,4443.0,4.55,46.0
https://www.sports-reference.com/cfb/players/anthony-kimble-1.html,,Stanford,Pac-10,,,39.0,415.0,1940.0,4.55,18.0,60.0,485.0,7.975,3.0,475.0,2425.0,5.075,21.0
https://www.sports-reference.com/cfb/players/anthony-mcfarland-2.html,,Maryland,Big Ten,,,23.0,245.0,1648.0,6.65,12.0,24.0,199.0,8.9,1.0,269.0,1847.0,6.8,13.0
https://www.sports-reference.com/cfb/players/anthony-thomas-2.html,,Michigan,Big Ten,,,44.0,846.0,4098.0,4.775,49.0,78.0,750.0,10.8,1.0,924.0,4848.0,5.275,50.0
https://www.sports-reference.com/cfb/players/antonio-andrews-1.html,,Western Kentucky,Sun Belt,,,42.0,618.0,3674.0,5.1,29.0,85.0,963.0,9.7,3.0,703.0,4637.0,5.65,32.0
https://www.sports-reference.com/cfb/players/antonio-pittman-1.html,,Ohio State,Big Ten,,,36.0,557.0,2945.0,5.3,22.0,37.0,314.0,7.633333333333333,0.0,594.0,3259.0,5.3999999999999995,22.0
https://www.sports-reference.com/cfb/players/antwoine-womack-1.html,,Virginia,ACC,,,32.0,429.0,2207.0,5.025,13.0,16.0,144.0,8.766666666666667,0.0,445.0,2351.0,5.175,13.0
https://www.sports-reference.com/cfb/players/arian-foster-1.html,,Tennessee,SEC,,,47.0,650.0,2964.0,4.4,23.0,83.0,742.0,9.0,2.0,733.0,3706.0,4.875,25.0
https://www.sports-reference.com/cfb/players/armando-allen-1.html,,Notre Dame,Ind,,,42.0,469.0,2144.0,4.525,8.0,119.0,833.0,7.025,3.0,588.0,2977.0,5.025,11.0
https://www.sports-reference.com/cfb/players/artose-pinner-1.html,,Kentucky,SEC,,,35.0,438.0,2105.0,4.525,17.0,58.0,407.0,6.599999999999999,2.0,496.0,2512.0,4.65,19.0
https://www.sports-reference.com/cfb/players/asim-rose-1.html,,Kentucky,SEC,,,42.0,341.0,1971.0,5.125,13.0,30.0,233.0,6.425000000000001,1.0,371.0,2204.0,5.275,14.0
https://www.sports-reference.com/cfb/players/avon-cobourne-1.html,,West Virginia,Big East,,,43.0,1023.0,5039.0,4.9,43.0,59.0,459.0,8.9,0.0,1082.0,5498.0,5.05,43.0
https://www.sports-reference.com/cfb/players/baron-batch-1.html,,Texas Tech,Big 12,,,45.0,467.0,2501.0,5.35,27.0,140.0,1111.0,7.7,5.0,607.0,3612.0,5.975,32.0
https://www.sports-reference.com/cfb/players/ben-lemay-1.html,,Charlotte,CUSA,,,41.0,596.0,3232.0,5.35,22.0,54.0,640.0,10.375,6.0,650.0,3872.0,5.75,28.0
https://www.sports-reference.com/cfb/players/ben-tate-1.html,,Auburn,SEC,,,47.0,678.0,3321.0,5.3,24.0,53.0,336.0,4.7,0.0,731.0,3657.0,5.3,24.0
https://www.sports-reference.com/cfb/players/benjamin-snell-jr-1.html,,Kentucky,SEC,,,39.0,737.0,3873.0,5.333333333333333,48.0,29.0,216.0,10.966666666666667,0.0,766.0,4089.0,5.433333333333334,48.0
https://www.sports-reference.com/cfb/players/benjarvus-green-ellis-1.html,,Indiana,Big Ten,,,47.0,920.0,3869.0,4.2,25.0,39.0,316.0,8.7,1.0,959.0,4185.0,4.375,26.0
https://www.sports-reference.com/cfb/players/bernard-pierce-1.html,,Temple,MAC,,,34.0,663.0,3570.0,5.3,53.0,19.0,178.0,11.033333333333333,1.0,682.0,3748.0,5.433333333333334,54.0
https://www.sports-reference.com/cfb/players/bijan-robinson-1.html,,Texas,Big 12,,,31.0,539.0,3410.0,6.699999999999999,33.0,60.0,805.0,13.633333333333333,8.0,599.0,4215.0,7.366666666666667,41.0
https://www.sports-reference.com/cfb/players/bilal-powell-1.html,,Louisville,Big East,,,42.0,436.0,2338.0,5.55,19.0,45.0,344.0,7.625,3.0,481.0,2682.0,5.75,22.0
https://www.sports-reference.com/cfb/players/bishop-sankey-1.html,,Washington,Pac-12,,,38.0,644.0,3496.0,5.8,37.0,67.0,567.0,6.8999999999999995,1.0,711.0,4063.0,5.733333333333333,38.0
https://www.sports-reference.com/cfb/players/bj-askew-1.html,,Michigan,Big Ten,,,46.0,334.0,1509.0,4.05,17.0,78.0,728.0,8.35,4.0,412.0,2237.0,5.9750000000000005,21.0
https://www.sports-reference.com/cfb/players/bj-catalon-1.html,,TCU,Big 12,,,32.0,328.0,1644.0,5.0,16.0,48.0,393.0,8.433333333333332,2.0,376.0,2037.0,5.466666666666666,18.0
https://www.sports-reference.com/cfb/players/bo-scarbrough-1.html,,Alabama,SEC,,,31.0,267.0,1512.0,5.7,20.0,21.0,131.0,5.95,0.0,288.0,1643.0,5.766666666666667,20.0
https://www.sports-reference.com/cfb/players/bobby-purify-1.html,,Colorado,Big 12,,,46.0,617.0,3096.0,4.64,20.0,56.0,549.0,9.05,1.0,673.0,3645.0,4.9799999999999995,21.0
https://www.sports-reference.com/cfb/players/boston-scott-1.html,,Louisiana Tech,CUSA,,,38.0,288.0,1840.0,6.05,14.0,32.0,307.0,7.166666666666667,1.0,320.0,2147.0,6.2,15.0
https://www.sports-reference.com/cfb/players/brandon-bolden-1.html,,Ole Miss,SEC,,,48.0,486.0,2594.0,5.275,27.0,76.0,807.0,10.625,6.0,562.0,3401.0,5.95,33.0
https://www.sports-reference.com/cfb/players/brandon-jackson-2.html,,Nebraska,Big 12,,,33.0,291.0,1431.0,4.266666666666667,14.0,34.0,318.0,7.25,2.0,325.0,1749.0,4.5,16.0
https://www.sports-reference.com/cfb/players/brandon-minor-1.html,,Michigan,Big Ten,,,43.0,331.0,1658.0,5.1,20.0,10.0,70.0,5.525,2.0,341.0,1728.0,5.15,22.0
https://www.sports-reference.com/cfb/players/brandon-miree-1.html,,Alabama,Big East,,,32.0,426.0,1944.0,3.6500000000000004,16.0,28.0,264.0,10.1,1.0,454.0,2208.0,3.85,17.0
https://www.sports-reference.com/cfb/players/brandon-saine-1.html,,Ohio State,Big Ten,,,49.0,301.0,1408.0,4.225,9.0,55.0,616.0,11.825,8.0,356.0,2024.0,5.25,17.0
https://www.sports-reference.com/cfb/players/brandon-wilds-1.html,,South Carolina,SEC,,,41.0,379.0,1844.0,4.9,13.0,59.0,540.0,9.65,3.0,438.0,2384.0,5.625,16.0
https://www.sports-reference.com/cfb/players/braylon-heard-1.html,,Nebraska,Big Ten,,,30.0,149.0,828.0,5.466666666666666,8.0,25.0,127.0,4.033333333333333,0.0,174.0,955.0,5.3999999999999995,8.0
https://www.sports-reference.com/cfb/players/breece-hall-1.html,,Iowa State,Big 12,,,36.0,718.0,3933.0,5.3999999999999995,50.0,82.0,734.0,9.066666666666666,6.0,800.0,4667.0,5.8,56.0
https://www.sports-reference.com/cfb/players/brenden-knox-1.html,,Marshall,CUSA,,,30.0,550.0,2852.0,5.333333333333333,24.0,27.0,239.0,8.5,1.0,577.0,3091.0,5.466666666666666,25.0
https://www.sports-reference.com/cfb/players/brian-allen-2.html,,Stanford,Pac-10,,,44.0,482.0,2117.0,4.1,13.0,23.0,226.0,9.975000000000001,0.0,505.0,2343.0,4.325,13.0
https://www.sports-reference.com/cfb/players/brian-calhoun-1.html,,Colorado,Big 12,,,39.0,619.0,2760.0,4.333333333333333,27.0,90.0,909.0,11.166666666666666,4.0,709.0,3669.0,5.0,31.0
https://www.sports-reference.com/cfb/players/brian-herrien-1.html,,Georgia,SEC,,,49.0,277.0,1413.0,5.2,13.0,28.0,167.0,4.925,2.0,305.0,1580.0,5.2,15.0
https://www.sports-reference.com/cfb/players/brian-hill-4.html,,Wyoming,MWC,,,37.0,775.0,4287.0,5.533333333333334,35.0,41.0,403.0,10.233333333333333,0.0,816.0,4690.0,5.866666666666667,35.0
https://www.sports-reference.com/cfb/players/brian-leonard-1.html,,Rutgers,Big East,,,47.0,678.0,2775.0,4.15,32.0,207.0,1868.0,8.925,13.0,885.0,4643.0,5.275,45.0
https://www.sports-reference.com/cfb/players/brian-robinson-jr-1.html,,Alabama,SEC,,,61.0,545.0,2704.0,5.220000000000001,30.0,52.0,446.0,8.033333333333333,2.0,597.0,3150.0,5.42,32.0
https://www.sports-reference.com/cfb/players/brittain-brown-1.html,,Duke,ACC,,,43.0,406.0,2284.0,5.46,21.0,41.0,431.0,16.64,2.0,447.0,2715.0,5.86,23.0
https://www.sports-reference.com/cfb/players/brock-forsey-1.html,,Boise State,Big West,,,47.0,813.0,4045.0,4.8,50.0,101.0,1175.0,13.375,18.0,914.0,5220.0,5.65,68.0
https://www.sports-reference.com/cfb/players/bruce-perry-1.html,,Maryland,ACC,,,36.0,468.0,2491.0,5.45,17.0,55.0,478.0,8.65,2.0,523.0,2969.0,5.725,19.0
https://www.sports-reference.com/cfb/players/bryce-brown-1.html,,Kansas State,Big 12,,,14.0,104.0,476.0,4.949999999999999,3.0,11.0,140.0,8.35,1.0,115.0,616.0,5.1,4.0
https://www.sports-reference.com/cfb/players/bryce-love-1.html,,Stanford,Pac-12,,,49.0,569.0,3865.0,6.875,30.0,49.0,465.0,9.4,2.0,618.0,4330.0,7.65,32.0
https://www.sports-reference.com/cfb/players/bryson-denley-1.html,,Bowling Green State,MAC,,,32.0,222.0,935.0,4.025,4.0,42.0,339.0,7.35,3.0,264.0,1274.0,4.3500000000000005,7.0
https://www.sports-reference.com/cfb/players/calvin-dawson-1.html,,Louisiana-Monroe,Sun Belt,,,46.0,663.0,3378.0,4.6,30.0,72.0,580.0,13.9,0.0,735.0,3958.0,4.975,30.0
https://www.sports-reference.com/cfb/players/cam-akers-1.html,,Florida State,ACC,,,36.0,586.0,2875.0,4.8999999999999995,27.0,69.0,486.0,7.033333333333334,7.0,655.0,3361.0,5.066666666666666,34.0
https://www.sports-reference.com/cfb/players/cameron-artis-payne-1.html,,Auburn,SEC,,,26.0,394.0,2218.0,6.0,19.0,14.0,151.0,7.65,0.0,408.0,2369.0,6.15,19.0
https://www.sports-reference.com/cfb/players/camerun-peoples-1.html,,Appalachian State,Sun Belt,,,36.0,455.0,2830.0,7.1,33.0,11.0,77.0,7.233333333333333,0.0,466.0,2907.0,7.1,33.0
https://www.sports-reference.com/cfb/players/carlos-hyde-1.html,,Ohio State,Big Ten,,,41.0,523.0,3198.0,5.925,37.0,34.0,271.0,7.633333333333333,4.0,557.0,3469.0,6.025,41.0
https://www.sports-reference.com/cfb/players/carnell-williams-1.html,,Auburn,SEC,,,42.0,741.0,3831.0,5.175,45.0,45.0,342.0,6.75,1.0,786.0,4173.0,5.375,46.0
https://www.sports-reference.com/cfb/players/casey-moore-1.html,,Stanford,Pac-10,,,44.0,158.0,961.0,6.4,11.0,50.0,513.0,10.725,5.0,208.0,1474.0,7.275,16.0
https://www.sports-reference.com/cfb/players/cecil-sapp-1.html,,Colorado State,MWC,,,28.0,504.0,2482.0,5.633333333333333,28.0,15.0,110.0,10.5,1.0,519.0,2592.0,5.7,29.0
https://www.sports-reference.com/cfb/players/cedric-benson-1.html,,Texas,Big 12,,,49.0,1112.0,5540.0,4.95,64.0,69.0,621.0,9.75,3.0,1181.0,6161.0,5.2,67.0
https://www.sports-reference.com/cfb/players/cedric-cobbs-1.html,,Arkansas,SEC,,,46.0,589.0,3018.0,4.9,26.0,26.0,138.0,5.7,1.0,615.0,3156.0,4.92,27.0
https://www.sports-reference.com/cfb/players/cedric-houston-1.html,,Tennessee,SEC,,,49.0,501.0,2634.0,5.4,17.0,39.0,369.0,9.0,1.0,540.0,3003.0,5.6,18.0
https://www.sports-reference.com/cfb/players/cedric-humes-1.html,,Virginia Tech,ACC,,,50.0,373.0,1805.0,4.85,21.0,29.0,224.0,7.9,0.0,402.0,2029.0,5.45,21.0
https://www.sports-reference.com/cfb/players/cedric-peerman-1.html,,Virginia,ACC,,,41.0,382.0,1749.0,4.25,15.0,66.0,344.0,5.700000000000001,1.0,448.0,2093.0,4.35,16.0
https://www.sports-reference.com/cfb/players/chad-morton-1.html,,USC,Pac-10,,,45.0,506.0,2493.0,5.8,24.0,37.0,251.0,10.325,1.0,543.0,2744.0,6.075,25.0
https://www.sports-reference.com/cfb/players/chad-simpson-1.html,,South Florida,Big East,,,13.0,17.0,86.0,1.2999999999999998,0.0,0.0,0.0,,0.0,17.0,86.0,1.2999999999999998,0.0
https://www.sports-reference.com/cfb/players/charles-scott-1.html,,LSU,SEC,,,43.0,424.0,2317.0,5.825,32.0,31.0,260.0,8.2,3.0,455.0,2577.0,6.025,35.0
https://www.sports-reference.com/cfb/players/charles-sims-1.html,,Houston,CUSA,,,48.0,592.0,3465.0,6.025,40.0,203.0,2108.0,10.275,11.0,795.0,5573.0,7.1499999999999995,51.0
https://www.sports-reference.com/cfb/players/chase-brown-3.html,,Illinois,Big Ten,,,47.0,676.0,3558.0,5.42,18.0,58.0,521.0,8.9,3.0,734.0,4079.0,5.64,21.0
https://www.sports-reference.com/cfb/players/chauncey-washington-1.html,,USC,Pac-10,,,32.0,371.0,1778.0,4.366666666666667,19.0,17.0,158.0,8.233333333333334,2.0,388.0,1936.0,4.566666666666666,21.0
https://www.sports-reference.com/cfb/players/chester-taylor-1.html,,Toledo,MAC,,,43.0,803.0,4646.0,5.8,55.0,61.0,554.0,9.1,5.0,864.0,5200.0,6.075,60.0
https://www.sports-reference.com/cfb/players/chris-barnes-1.html,,New Mexico State,Big West,,,20.0,275.0,1650.0,5.8,11.0,11.0,98.0,8.85,0.0,286.0,1748.0,5.9,11.0
https://www.sports-reference.com/cfb/players/chris-brown-1.html,,Colorado,Big 12,,,24.0,493.0,2787.0,5.55,35.0,11.0,76.0,7.0,0.0,504.0,2863.0,5.55,35.0
https://www.sports-reference.com/cfb/players/chris-brown-4.html,,Oklahoma,Big 12,,,45.0,627.0,2923.0,4.625,42.0,44.0,323.0,7.5,3.0,671.0,3246.0,4.775,45.0
https://www.sports-reference.com/cfb/players/chris-carson-1.html,,Oklahoma State,Big 12,,,21.0,213.0,1076.0,5.35,13.0,30.0,298.0,9.9,1.0,243.0,1374.0,5.9,14.0
https://www.sports-reference.com/cfb/players/chris-evans-2.html,,Michigan,Big Ten,,,42.0,320.0,1795.0,5.475,15.0,49.0,479.0,10.55,2.0,369.0,2274.0,6.325,17.0
https://www.sports-reference.com/cfb/players/chris-henry-1.html,,Arizona,Pac-10,,,35.0,269.0,892.0,3.05,9.0,26.0,205.0,5.1,1.0,295.0,1097.0,3.3000000000000003,10.0
https://www.sports-reference.com/cfb/players/chris-johnson-1.html,,East Carolina,CUSA,,,47.0,624.0,2982.0,4.525,32.0,125.0,1296.0,10.075,10.0,749.0,4278.0,5.425,42.0
